,FPR,TPR,FNR,TNR
0,0.17750717978173464,0.6422132852586326,0.35778671474136736,0.8224928202182653
1,0.1790235496840896,0.6484537512134239,0.3515462487865761,0.8209764503159104
2,0.1961631246410109,0.6793787269449452,0.3206212730550548,0.8038368753589891
3,0.1945318782309018,0.6677298571626682,0.33227014283733186,0.8054681217690982
4,0.1617461229178633,0.6136458188878102,0.3863541811121897,0.8382538770821367
5,0.2144744399770247,0.7022604354458466,0.2977395645541534,0.7855255600229754
6,0.17879379666858128,0.6419359312161974,0.35806406878380254,0.8212062033314187
7,0.2020218265364733,0.6822909443905145,0.31770905560948554,0.7979781734635267
8,0.20199885123492245,0.6856191928997365,0.3143808071002635,0.7980011487650776
9,0.21520964962665134,0.7048952988489807,0.2951047011510193,0.7847903503733487
0,0.193268237,0.668700596,0.331299404,0.806731763
1,0.209282022,0.690334212,0.309665788,0.790717978
2,0.216473291,0.705033976,0.294966024,0.783526709
3,0.193130385,0.671474137,0.328525863,0.806869615
4,0.1961861,0.676327833,0.323672168,0.8038139
5,0.197541643,0.676882541,0.323117459,0.802458357
6,0.159655371,0.6089308,0.3910692,0.84034463
7,0.196232051,0.674109,0.325891,0.80376795
8,0.179988512,0.645402857,0.354597143,0.820011488
9,0.170591614,0.631535155,0.368464845,0.829408386
10,0.161194716,0.61544862,0.38455138,0.838805284
11,0.189408386,0.666343087,0.333656913,0.810591614
12,0.185709362,0.659547913,0.340452087,0.814290638
13,0.175921884,0.640826515,0.359173485,0.824078116
14,0.190695003,0.665649702,0.334350298,0.809304997
15,0.20493969,0.690056858,0.309943142,0.79506031
16,0.192923607,0.668700596,0.331299404,0.807076393
17,0.212797243,0.702260435,0.297739565,0.787202757
18,0.239425618,0.731798641,0.268201359,0.760574383
19,0.233612866,0.725696852,0.274303148,0.766387134
0,0.205215394,0.686312578,0.313687422,0.794784607
1,0.215278576,0.70253779,0.297462211,0.784721425
2,0.188282596,0.667313826,0.332686174,0.811717404
3,0.139712809,0.566495632,0.433504368,0.860287191
4,0.174106835,0.638330329,0.361669671,0.825893165
5,0.18019529,0.644293441,0.355706559,0.819805
6,0.193061459,0.665233671,0.334766329,0.806938541
7,0.193383113,0.666343087,0.333656913,0.806616887
8,0.231361287,0.725836,0.274164471,0.768638713
9,0.187087881,0.661212037,0.338787963,0.812912
10,0.174566341,0.637220913,0.362779088,0.825434
11,0.200298679,0.681320205,0.318679795,0.799701321
12,0.215347501,0.70253779,0.297462211,0.784652499
13,0.200183802,0.678407988,0.321592012,0.799816198
14,0.189821941,0.664124255,0.335875745,0.810178
15,0.208386,0.692137,0.307863,0.791614
16,0.17105112,0.633337956,0.366662044,0.82894888
17,0.208156232,0.697129386,0.302871,0.791843768
18,0.199586445,0.681597559,0.318402441,0.800414
19,0.18283745,0.650811261,0.349188739,0.81716255
